country code,place name,admin code1,admin name1,Latitude,Longitude,,,Nom_fr
CA,Boudreauville,NS,Nova Scotia,45.509218,-60.963214,,,Boudreauville
CA,Petit-de-Grat,NS,Nova Scotia,45.504832,-60.95484,,,Petit-de-Grat
CA,West Arichat,NS,Nova Scotia,45.514744,-61.081279,,,West Arichat
CA,Port Royal,NS,Nova Scotia,45.533669,-61.08252,,,Port Royal
CA,Pondville,NS,Nova Scotia,45.541113,-60.991101,,,Pondville
CA,Poirierville,NS,Nova Scotia,45.578734,-60.926597,,,Poirierville
CA,D'Escousse,NS,Nova Scotia,45.587258,-60.960698,,,D'Escousse
CA,Little Harbour,NS,Nova Scotia,45.586188,-60.737162,,,Little Harbour
CA,Fourchu,NS,Nova Scotia,45.716611,-60.260506,,,Fourchu
CA,Grande Greve,NS,Nova Scotia,45.631886,-60.843195,,,Grande Greve
CA,Rockdale,NS,Nova Scotia,45.616625,-60.809742,,,Rockdale
CA,Grand River,NS,Nova Scotia,45.645119,-60.661741,,,Grand River
CA,Barra Head,NS,Nova Scotia,45.678664,-60.783694,,,Barra Head
CA,Red Islands,NS,Nova Scotia,45.779044,-60.74261,,,Red Islands
CA,Soldiers Cove,NS,Nova Scotia,45.695632,-60.735595,,,Soldiers Cove
CA,Lower L'Ardoise,NS,Nova Scotia,45.601268,-60.74089,,,Lower L'Ardoise
CA,Framboise,NS,Nova Scotia,45.722892,-60.375502,,,Framboise
CA,Alder Point,NS,Nova Scotia,46.294406,-60.281594,,,Alder Point
CA,East Bay,NS,Nova Scotia,46.018764,-60.371183,,,East Bay
CA,Irish Vale,NS,Nova Scotia,45.849873,-60.647044,,,Irish Vale
CA,Big Pond,NS,Nova Scotia,45.902919,-60.544142,,,Big Pond
CA,Rock Elm,NS,Nova Scotia,45.930651,-60.334305,,,Rock Elm
CA,Marion Bridge,NS,Nova Scotia,45.981104,-60.21177,,,Marion Bridge
CA,Howie Centre,NS,Nova Scotia,46.070118,-60.277965,,,Howie Centre
CA,Albert Bridge,NS,Nova Scotia,46.024767,-60.063078,,,Albert Bridge
CA,Catalone,NS,Nova Scotia,46.009127,-59.945757,,,Catalone
CA,Florence,NS,Nova Scotia,46.259388,-60.260866,,,Florence
CA,Gabarus,NS,Nova Scotia,45.838184,-60.140332,,,Gabarus
CA,Leitches Creek,NS,Nova Scotia,46.168937,-60.310854,,,Leitches Creek
CA,St. Andrews Channel,NS,Nova Scotia,45.93015,-60.515013,,,St. Andrews Channel
CA,Grand Mira South,NS,Nova Scotia,45.892058,-60.289277,,,Grand Mira South
CA,North Lake,PE,Prince Edward Island,46.46448,-62.066615,,,North Lake
CA,Kingsboro,PE,Prince Edward Island,46.392344,-62.111268,,,Kingsboro
CA,South Lake,PE,Prince Edward Island,46.422722,-62.049813,,,South Lake
CA,Bayfield,PE,Prince Edward Island,46.474072,-62.195214,,,Bayfield
CA,Bothwell,PE,Prince Edward Island,46.40283,-62.0824,,,Bothwell
CA,Little Harbour,PE,Prince Edward Island,46.362157,-62.188211,,,Little Harbour
CA,Souris Line Road,PE,Prince Edward Island,46.396027,-62.249816,,,Souris Line Road
CA,Red Point,PE,Prince Edward Island,46.379828,-62.140559,,,Red Point
CA,Chepstow,PE,Prince Edward Island,46.353122,-62.214579,,,Chepstow
CA,Souris West,PE,Prince Edward Island,46.359233,-62.288147,,,Souris West
CA,New Zealand,PE,Prince Edward Island,46.397986,-62.309802,,,New Zealand
CA,Bay Fortune,PE,Prince Edward Island,46.327297,-62.369205,,,Bay Fortune
CA,Rollo Bay,PE,Prince Edward Island,46.359801,-62.34005,,,Rollo Bay
CA,Fortune Harbour,PE,Prince Edward Island,46.337378,-62.359919,,,Fortune Harbour
CA,New Acadia,PE,Prince Edward Island,46.399667,-62.396429,,,New Acadia
CA,Fortune Bridge,PE,Prince Edward Island,46.349798,-62.378864,,,Fortune Bridge
CA,Bear River,PE,Prince Edward Island,46.39103,-62.354185,,,Bear River
CA,Farmington,PE,Prince Edward Island,46.385999,-62.488852,,,Farmington
CA,Annandale,PE,Prince Edward Island,46.263711,-62.406195,,,Annandale
CA,Little Pond,PE,Prince Edward Island,46.281078,-62.41063,,,Little Pond
CA,Bridgetown,PE,Prince Edward Island,46.305642,-62.527922,,,Bridgetown
CA,Dundas,PE,Prince Edward Island,46.317705,-62.509759,,,Dundas
CA,Upton,PE,Prince Edward Island,46.336775,-62.539956,,,Upton
CA,St. Georges,PE,Prince Edward Island,46.259654,-62.482812,,,St. Georges
CA,Strathcona,PE,Prince Edward Island,46.323287,-62.554626,,,Strathcona
